# m1_extract v1 — DERIVED DATA (a Modified Version), not an original work.
# Source:  Cremona ecdata, https://github.com/JohnCremona/ecdata
#          release tag 2026-04-22, commit 25cec5ecfec8b9f016eb1631ac633194c2bed39f
# License: Artistic License 2.0 (ecdata's LICENSE) — redistribution of Modified
#          Versions is permitted with this notice retained. (c) J. Cremona and
#          contributors. Raw-slice sha256s pinned in data/cremona/MANIFEST.json.
# Derived by: `at ecdata-extract --lo 2500 --hi 10000` (this repo).
# Contents: one primitive-isogeny-class representative per line — the rows Stage
#          M1 consumes; good-prime a_p is COMPUTED from the model, not stored.
# range 2500 10000
# LABEL N a1 a2 a3 a4 a6 RANK BAD(p:w,...|-)
3757c 3757 1 1 1 -21392 1175944 1 13:1,17:1
3757d 3757 1 0 0 -74 235 1 13:1,17:1
3758a 3758 1 0 1 3 8 1 2:1,1879:1
3758b 3758 1 -1 0 4 -4 2 2:1,1879:-1
3758c 3758 1 0 1 -19 30 2 2:1,1879:-1
3758d 3758 1 0 1 28 -30 0 2:1,1879:-1
3758e 3758 1 -1 1 -28 2143 1 2:-1,1879:-1
3758f 3758 1 0 0 -135 649 1 2:-1,1879:-1
3759a 3759 0 -1 1 -365 3464 1 3:1,7:-1,179:-1
3759b 3759 0 1 1 -15 -52 1 3:-1,7:1,179:-1
3759c 3759 0 1 1 -11767 492217 1 3:-1,7:-1,179:1
3759d 3759 0 1 1 44 64 1 3:-1,7:-1,179:1
3760a 3760 0 1 0 -16 4 1 2:1,5:1,47:1
3760b 3760 0 0 0 -883 10082 0 2:1,5:1,47:-1
3760c 3760 0 -1 0 -105 -475 0 2:1,5:-1,47:1
3760d 3760 0 1 0 -56816 5193620 0 2:-1,5:1,47:1
3760e 3760 0 1 0 -176 -940 0 2:-1,5:1,47:1
3760f 3760 0 -1 0 -7076 -226340 0 2:-1,5:1,47:1
3760g 3760 0 1 0 59 -141 0 2:-1,5:1,47:1
3760h 3760 0 -1 0 -696 -6800 1 2:-1,5:1,47:-1
3760i 3760 0 -1 0 -576 -5120 1 2:-1,5:1,47:-1
3760j 3760 0 -1 0 21619 57905 1 2:-1,5:1,47:-1
3760k 3760 0 0 0 -103 -398 1 2:-1,5:1,47:-1
3760l 3760 0 1 0 -1560 -21100 1 2:-1,5:-1,47:1
3760m 3760 0 1 0 -80 -172 1 2:-1,5:-1,47:1
3760n 3760 0 1 0 -45 103 1 2:-1,5:-1,47:1
3760o 3760 0 1 0 -20 -40 0 2:-1,5:-1,47:-1
3760p 3760 0 -1 0 -92360 -10773008 0 2:-1,5:-1,47:-1
3760q 3760 0 0 0 -1867 -7174 0 2:-1,5:-1,47:-1
3762a 3762 1 -1 0 -4443 1075877 1 2:1,3:1,11:1,19:1
3762b 3762 1 -1 0 -186 1026 1 2:1,3:1,11:-1,19:-1
3762c 3762 1 -1 0 675 -52731 0 2:1,3:-1,11:1,19:1
3762d 3762 1 -1 0 -1341 -18491 0 2:1,3:-1,11:1,19:1
3762e 3762 1 -1 0 -51 179 1 2:1,3:-1,11:1,19:-1
3762f 3762 1 -1 0 -33 -55 1 2:1,3:-1,11:1,19:-1
3762g 3762 1 -1 0 -29484 1965136 1 2:1,3:-1,11:-1,19:1
3762h 3762 1 -1 0 -3366 -73548 1 2:1,3:-1,11:-1,19:1
3762i 3762 1 -1 0 -20151 -1095971 0 2:1,3:-1,11:-1,19:-1
3762j 3762 1 -1 0 594 724 0 2:1,3:-1,11:-1,19:-1
3762k 3762 1 -1 0 -102771 -12847059 0 2:1,3:-1,11:-1,19:-1
3762l 3762 1 -1 1 34 -187 1 2:-1,3:1,11:1,19:-1
3762m 3762 1 -1 1 -494 -39683 1 2:-1,3:1,11:-1,19:1
3762n 3762 1 -1 1 -329 -2167 1 2:-1,3:-1,11:1,19:1
3762o 3762 1 -1 1 -11543 -474321 0 2:-1,3:-1,11:1,19:-1
3762p 3762 1 -1 1 -1850 -24199 1 2:-1,3:-1,11:-1,19:-1
3762q 3762 1 -1 1 -131900 -15633921 1 2:-1,3:-1,11:-1,19:-1
3762r 3762 1 -1 1 -59 267 1 2:-1,3:-1,11:-1,19:-1
3765a 3765 1 1 1 2214 1608 0 3:1,5:1,251:-1
3765b 3765 1 0 0 -25 50 1 3:-1,5:-1,251:1
3766a 3766 1 -1 0 -89 -2643 0 2:1,7:-1,269:1
3768a 3768 0 -1 0 -504 -4212 0 2:1,3:1,157:-1
3768b 3768 0 -1 0 -51 168 0 2:1,3:1,157:-1
3768c 3768 0 1 0 -43 74 1 2:1,3:-1,157:-1
3768d 3768 0 -1 0 1504 -15972 0 2:-1,3:1,157:1
3768e 3768 0 1 0 -48 -1584 1 2:-1,3:-1,157:1
3770a 3770 1 -1 0 -144155 21098325 0 2:1,5:1,13:1,29:-1
3770b 3770 1 0 1 -653 5256 1 2:1,5:-1,13:1,29:-1
3770c 3770 1 0 1 -538 -4844 0 2:1,5:-1,13:-1,29:-1
3770d 3770 1 -1 1 -86193 -9718303 0 2:-1,5:1,13:1,29:1
3770e 3770 1 1 1 -956411 359609353 0 2:-1,5:1,13:1,29:1
3770f 3770 1 -1 1 -3 -3 0 2:-1,5:1,13:1,29:1
3770g 3770 1 0 0 -175 825 1 2:-1,5:-1,13:-1,29:-1
3774a 3774 1 1 0 -6870 977364 1 2:1,3:1,17:1,37:1
3774b 3774 1 1 0 -68 -816 0 2:1,3:1,17:1,37:-1
3774c 3774 1 1 0 18562 -5346696 0 2:1,3:1,17:1,37:-1
3774d 3774 1 1 0 227 1789 2 2:1,3:1,17:1,37:-1
3774e 3774 1 1 0 -1581 -24867 0 2:1,3:1,17:1,37:-1
3774f 3774 1 1 0 -1230836 783755088 0 2:1,3:1,17:1,37:-1
3774g 3774 1 1 0 -152841 -23064507 0 2:1,3:1,17:1,37:-1
3774h 3774 1 0 1 7 50 0 2:1,3:-1,17:1,37:1
3774i 3774 1 0 1 12 130 1 2:1,3:-1,17:-1,37:1
3774j 3774 1 0 1 -32118 2218504 1 2:1,3:-1,17:-1,37:1
3774k 3774 1 0 1 -1399 -27682 1 2:1,3:-1,17:-1,37:1
3774l 3774 1 0 1 -684 7210 1 2:1,3:-1,17:-1,37:1
3774m 3774 1 1 1 -3 9 1 2:-1,3:1,17:1,37:-1
3774n 3774 1 1 1 -11148 918957 1 2:-1,3:1,17:-1,37:1
3774o 3774 1 1 1 1 -7 1 2:-1,3:1,17:-1,37:1
3774p 3774 1 1 1 4063 78815 1 2:-1,3:1,17:-1,37:1
3774q 3774 1 0 0 76 -48 0 2:-1,3:-1,17:1,37:-1
3774r 3774 1 0 0 18 132 0 2:-1,3:-1,17:-1,37:1
3775a 3775 0 0 1 50 -94 1 5:1,151:1
3775b 3775 1 1 1 37 156 1 5:1,151:1
3775c 3775 0 -1 1 -8 168 1 5:1,151:1
3775d 3775 0 0 1 -1422925 -653317844 1 5:1,151:1
3775e 3775 0 0 1 -175 906 1 5:1,151:1
3775f 3775 1 1 1 37 -344 0 5:1,151:-1
3776a 3776 0 1 0 15 47 1 2:1,59:1
3776b 3776 0 1 0 -1105 -14513 1 2:1,59:1
3776c 3776 0 1 0 -5 11 1 2:1,59:1
3776d 3776 0 1 0 31 127 1 2:1,59:1
3776e 3776 0 1 0 3551 -108993 1 2:1,59:1
3776f 3776 0 1 0 -1601 24863 0 2:1,59:-1
3776g 3776 0 1 0 31 383 0 2:1,59:-1
3776h 3776 0 -1 0 -37 101 2 2:1,59:-1
3776i 3776 0 1 0 -257 -1697 0 2:1,59:-1
3776j 3776 0 0 0 8 8 0 2:1,59:-1
3776k 3776 0 0 0 -76 -272 0 2:1,59:-1
3776l 3776 0 1 0 -37 -101 0 2:-1,59:1
3776m 3776 0 -1 0 -1601 -24863 0 2:-1,59:1
3776n 3776 0 -1 0 31 -383 0 2:-1,59:1
3776o 3776 0 -1 0 -9 -23 0 2:-1,59:1
3776p 3776 0 -1 0 -257 1697 0 2:-1,59:1
3776q 3776 0 0 0 -2068 36224 0 2:-1,59:1
3776r 3776 0 0 0 -76 272 0 2:-1,59:1
3776s 3776 0 0 0 8 -8 2 2:-1,59:1
3776t 3776 0 1 0 -9 23 1 2:-1,59:-1
3776u 3776 0 -1 0 15 -47 1 2:-1,59:-1
3776v 3776 0 -1 0 -1105 14513 1 2:-1,59:-1
3776w 3776 0 -1 0 -5 -11 1 2:-1,59:-1
3776x 3776 0 -1 0 31 -127 1 2:-1,59:-1
3776y 3776 0 -1 0 3551 108993 1 2:-1,59:-1
3776z 3776 0 0 0 -2068 -36224 1 2:-1,59:-1
3777a 3777 0 -1 1 -184 -912 0 3:1,1259:-1
3777b 3777 0 1 1 -335 2252 1 3:-1,1259:-1
3777c 3777 0 1 1 5 -2 1 3:-1,1259:-1
3778a 3778 1 0 1 1 -6 1 2:1,1889:1
3778b 3778 1 0 0 -42 100 1 2:-1,1889:-1
3779a 3779 0 0 1 2 -3 2 3779:-1
3780a 3780 0 0 0 -69303 -7035698 0 2:-1,3:1,5:1,7:1
3780b 3780 0 0 0 -33 -107 1 2:-1,3:1,5:1,7:-1
3780c 3780 0 0 0 303 -1839 1 2:-1,3:1,5:-1,7:1
3780d 3780 0 0 0 -87 334 0 2:-1,3:1,5:-1,7:-1
3780e 3780 0 0 0 2727 49653 1 2:-1,3:-1,5:1,7:1
3780f 3780 0 0 0 57 -2 0 2:-1,3:-1,5:1,7:-1
3780g 3780 0 0 0 -623727 189963846 0 2:-1,3:-1,5:-1,7:1
3780h 3780 0 0 0 -297 2889 1 2:-1,3:-1,5:-1,7:-1
3781a 3781 0 0 1 -34 76 0 19:-1,199:1
3782a 3782 1 -1 0 -131 613 2 2:1,31:-1,61:1
3782b 3782 1 0 1 -992 12018 1 2:1,31:-1,61:-1
3782c 3782 1 0 0 149 1329 1 2:-1,31:1,61:-1
3783a 3783 1 1 0 -260 507 1 3:1,13:1,97:1
3784a 3784 0 1 0 -8 32 1 2:1,11:1,43:1
3784b 3784 0 -1 0 -32 -43 1 2:1,11:1,43:1
3784c 3784 0 0 0 -155 742 0 2:1,11:1,43:-1
3784d 3784 0 0 0 -26 161 0 2:1,11:-1,43:1
3784e 3784 0 0 0 -383 -2885 0 2:1,11:-1,43:1
3784f 3784 0 -1 0 199 -611 2 2:1,11:-1,43:1
3784g 3784 0 1 0 -8 -11 1 2:-1,11:-1,43:1
3785a 3785 1 0 1 2416 7171 1 5:1,757:1
3785b 3785 1 0 1 -79 261 1 5:1,757:1
3785c 3785 0 0 1 -103 -367 0 5:1,757:-1
3785d 3785 1 -1 1 -12 24 1 5:-1,757:-1
3786a 3786 1 1 0 4 6 2 2:1,3:1,631:-1
3786b 3786 1 0 1 -2015 34634 1 2:1,3:-1,631:-1
3786c 3786 1 1 1 -205 1091 2 2:-1,3:1,631:1
3786d 3786 1 1 1 -3 -63 1 2:-1,3:1,631:-1
3786e 3786 1 1 1 -28 53 1 2:-1,3:1,631:-1
3786f 3786 1 0 0 262 2916 1 2:-1,3:-1,631:1
3786g 3786 1 0 0 33150 -12705084 0 2:-1,3:-1,631:-1
3787a 3787 0 -1 1 2 2 1 7:1,541:1
3790a 3790 1 1 0 -28 48 1 2:1,5:1,379:1
3790b 3790 1 0 1 387 2288 1 2:1,5:-1,379:-1
3792a 3792 0 1 0 -24 -60 1 2:1,3:-1,79:-1
3792b 3792 0 1 0 -23504 1938180 1 2:1,3:-1,79:-1
3792c 3792 0 -1 0 12 -36 0 2:-1,3:1,79:1
3792d 3792 0 -1 0 -104 -912 0 2:-1,3:1,79:1
3792e 3792 0 1 0 -17 78 0 2:-1,3:-1,79:-1
3792f 3792 0 1 0 1288 4308 0 2:-1,3:-1,79:-1
3792g 3792 0 1 0 -796 -8968 0 2:-1,3:-1,79:-1
3794a 3794 1 -1 0 -40 108 0 2:1,7:-1,271:1
3794b 3794 1 1 0 7980 -64432 1 2:1,7:-1,271:-1
3794c 3794 1 -1 1 -4 23 1 2:-1,7:1,271:-1
3794d 3794 1 0 0 1 -11 1 2:-1,7:-1,271:1
3795a 3795 0 -1 1 374 1716 0 3:1,5:1,11:-1,23:1
3795b 3795 1 1 1 -176 824 1 3:1,5:1,11:-1,23:-1
3795c 3795 1 1 0 8 -29 0 3:1,5:-1,11:1,23:1
3795d 3795 0 -1 1 -292170 60883931 0 3:1,5:-1,11:1,23:1
3795e 3795 0 -1 1 1290 55118 0 3:1,5:-1,11:1,23:1
3795f 3795 0 -1 1 985 -20494 1 3:1,5:-1,11:-1,23:1
3795g 3795 1 0 1 -139 1241 0 3:-1,5:1,11:1,23:1
3795h 3795 1 0 0 -61 176 1 3:-1,5:1,11:-1,23:1
3795i 3795 0 1 1 -420835 105118306 1 3:-1,5:-1,11:1,23:1
3795j 3795 1 0 1 -7828 265901 0 3:-1,5:-1,11:1,23:-1
3795k 3795 1 0 1 -238 -1429 0 3:-1,5:-1,11:-1,23:1
3797a 3797 0 0 1 -71 230 1 3797:1
3798a 3798 1 -1 0 -603 -12123 0 2:1,3:-1,211:1
3798b 3798 1 -1 1 -95 263 1 2:-1,3:-1,211:1
3798c 3798 1 -1 1 -338 -2307 1 2:-1,3:-1,211:1
3798d 3798 1 -1 1 7 73 1 2:-1,3:-1,211:1
3798e 3798 1 -1 1 -9626 365897 1 2:-1,3:-1,211:1
3799a 3799 0 1 1 -4 -18 2 29:1,131:-1
3800a 3800 0 0 0 -50 2625 1 2:1,5:1,19:1
3800b 3800 0 1 0 -15083 701338 0 2:1,5:-1,19:1
3800c 3800 0 -1 0 -33 437 0 2:-1,5:1,19:1
3800d 3800 0 -1 0 -650883 -202065988 0 2:-1,5:1,19:1
3800e 3800 0 1 0 117 238 2 2:-1,5:1,19:1
3800f 3800 0 0 0 -1675 115750 0 2:-1,5:1,19:1
3800g 3800 0 -1 0 -208 -1588 1 2:-1,5:1,19:-1
3800h 3800 0 -1 0 -883 9012 1 2:-1,5:1,19:-1
3800i 3800 0 -1 0 -603 5852 1 2:-1,5:-1,19:1
3801a 3801 1 1 0 -612 -21465 1 3:1,7:1,181:1
3801b 3801 1 1 1 -48 108 1 3:1,7:1,181:1
3801c 3801 0 -1 1 1532 97947 1 3:1,7:1,181:1
3801d 3801 0 -1 1 -14 26 2 3:1,7:1,181:-1
3801e 3801 0 1 1 -5 5 1 3:-1,7:1,181:-1
3802a 3802 1 0 1 -27 38 1 2:1,1901:1
3802b 3802 1 1 1 -181 -1013 0 2:-1,1901:1
3802c 3802 1 0 0 -1351 -19703 1 2:-1,1901:-1
3802d 3802 1 0 0 -1617 -24791 1 2:-1,1901:-1
3803a 3803 1 0 1 -581 5335 1 3803:1
3805a 3805 1 -1 0 -14 23 1 5:-1,761:-1
3806a 3806 1 0 1 -337 2308 1 2:1,11:1,173:1
3806b 3806 1 1 0 -1048 -13504 1 2:1,11:1,173:1
3806c 3806 1 0 1 -270 -18 0 2:1,11:1,173:-1
3806d 3806 1 -1 0 -55 -101 2 2:1,11:-1,173:1
3806e 3806 1 1 0 -17 13 1 2:1,11:-1,173:-1
3806f 3806 1 0 0 -12879 561401 0 2:-1,11:1,173:1
3806g 3806 1 0 0 -21885 -1088527 1 2:-1,11:-1,173:1
3806h 3806 1 0 0 -886 -10076 1 2:-1,11:-1,173:1
3806i 3806 1 1 1 -66 175 1 2:-1,11:-1,173:1
3806j 3806 1 -1 1 -57 177 1 2:-1,11:-1,173:1
3806k 3806 1 1 1 -8886825 10184752663 0 2:-1,11:-1,173:-1
3806l 3806 1 -1 1 -1179 15819 2 2:-1,11:-1,173:-1
3807a 3807 1 -1 1 -5 -4 1 3:1,47:1
3807b 3807 1 -1 0 0 3 0 3:1,47:-1
3807c 3807 1 -1 1 25 -242 0 3:1,47:-1
3807d 3807 1 -1 0 3 8 0 3:-1,47:1
3807e 3807 1 -1 1 -2 -80 0 3:-1,47:1
3807f 3807 1 -1 0 -42 143 1 3:-1,47:-1
3808a 3808 0 -1 0 -278 1880 0 2:-1,7:1,17:1
3808b 3808 0 1 0 -278 -1880 1 2:-1,7:-1,17:1
3809a 3809 1 0 1 -1 -11 1 13:1,293:1
3810a 3810 1 1 0 12 18 1 2:1,3:1,5:1,127:1
3810b 3810 1 0 1 -43004 3429002 1 2:1,3:-1,5:1,127:-1
3810c 3810 1 0 1 31 -1324 1 2:1,3:-1,5:1,127:-1
3810d 3810 1 0 1 17 98 1 2:1,3:-1,5:-1,127:1
3810e 3810 1 0 1 -1078 13256 0 2:1,3:-1,5:-1,127:-1
3810f 3810 1 0 0 -1101 14481 1 2:-1,3:-1,5:1,127:1
3810g 3810 1 0 0 -66 -300 0 2:-1,3:-1,5:1,127:-1
3811a 3811 0 1 1 -79 -436 1 37:-1,103:-1
3813a 3813 0 -1 1 -621739 173752536 1 3:1,31:1,41:1
3813b 3813 0 -1 1 -8 5 0 3:1,31:1,41:-1
3813c 3813 1 0 1 -15535 -53659 1 3:-1,31:1,41:-1
3814a 3814 1 -1 0 -62 148 1 2:1,1907:1
3815a 3815 0 -1 1 44 -838 1 5:1,7:1,109:1
3815b 3815 1 -1 0 55 296 0 5:1,7:-1,109:1
3816a 3816 0 0 0 -291 2302 0 2:1,3:-1,53:1
3816b 3816 0 0 0 -147 -1010 0 2:1,3:-1,53:1
3818a 3818 1 0 1 194 1324 0 2:1,23:1,83:-1
3818b 3818 1 0 1 65 2578 1 2:1,23:-1,83:-1
3818c 3818 1 1 0 -5 -23 1 2:1,23:-1,83:-1
3818d 3818 1 0 0 -565 5281 1 2:-1,23:1,83:-1
3818e 3818 1 -1 1 -8334 -290739 0 2:-1,23:-1,83:-1
3819a 3819 1 1 1 -44 -124 1 3:1,19:1,67:1
3819b 3819 0 -1 1 -1 -42 2 3:1,19:1,67:-1
3819c 3819 0 -1 1 11 -27 0 3:1,19:1,67:-1
3819d 3819 1 1 0 -29 -72 0 3:1,19:1,67:-1
3822a 3822 1 1 0 26533 894237 1 2:1,3:1,7:1,13:1
3822b 3822 1 1 0 24 36 1 2:1,3:1,7:1,13:1
3822ba 3822 1 0 0 -69336 96787872 1 2:-1,3:-1,7:1,13:1
3822bb 3822 1 0 0 -3725 89361 1 2:-1,3:-1,7:1,13:1
3822bc 3822 1 0 0 -1079 25857 0 2:-1,3:-1,7:1,13:-1
3822bd 3822 1 0 0 -1827554 -951092220 0 2:-1,3:-1,7:-1,13:1
3822be 3822 1 0 0 6 6 0 2:-1,3:-1,7:-1,13:1
3822bf 3822 1 0 0 -78 468 1 2:-1,3:-1,7:-1,13:-1
3822bg 3822 1 0 0 -4923717 4228856001 1 2:-1,3:-1,7:-1,13:-1
3822bh 3822 1 0 0 -232 2624 1 2:-1,3:-1,7:-1,13:-1
3822c 3822 1 1 0 -151827 22709037 0 2:1,3:1,7:-1,13:1
3822d 3822 1 1 0 -2769 53397 0 2:1,3:1,7:-1,13:1
3822e 3822 1 1 0 -58741 -1282259 0 2:1,3:1,7:-1,13:1
3822f 3822 1 1 0 661 -61851 0 2:1,3:1,7:-1,13:1
3822g 3822 1 1 0 332 -7496 1 2:1,3:1,7:-1,13:-1
3822h 3822 1 1 0 -368 2976 1 2:1,3:1,7:-1,13:-1
3822i 3822 1 1 0 -2034 -41292 1 2:1,3:1,7:-1,13:-1
3822j 3822 1 0 1 -99692 13864106 0 2:1,3:-1,7:1,13:1
3822k 3822 1 0 1 16242 2619880 1 2:1,3:-1,7:-1,13:1
3822l 3822 1 0 1 -5318 150770 1 2:1,3:-1,7:-1,13:1
3822m 3822 1 0 1 -957 -237800 1 2:1,3:-1,7:-1,13:1
3822n 3822 1 0 1 541 -2530 0 2:1,3:-1,7:-1,13:-1
3822o 3822 1 0 1 -3099 -66650 0 2:1,3:-1,7:-1,13:-1
3822p 3822 1 0 1 1150 -8872 0 2:1,3:-1,7:-1,13:-1
3822q 3822 1 0 1 -2878335 431179858 0 2:1,3:-1,7:-1,13:-1
3822r 3822 1 1 1 -3823 -164347 0 2:-1,3:1,7:1,13:1
3822s 3822 1 1 1 -11369 -911401 1 2:-1,3:1,7:-1,13:1
3822t 3822 1 1 1 -22 -85 1 2:-1,3:1,7:-1,13:1
3822u 3822 1 1 1 -1415 -282787 0 2:-1,3:1,7:-1,13:-1
3822v 3822 1 1 1 34985 28472429 0 2:-1,3:1,7:-1,13:-1
3822w 3822 1 1 1 -37297 2756879 0 2:-1,3:1,7:-1,13:-1
3822x 3822 1 1 1 -344 2057 0 2:-1,3:1,7:-1,13:-1
3822y 3822 1 1 1 293 -1765 0 2:-1,3:1,7:-1,13:-1
3822z 3822 1 1 1 -182526 -30833349 0 2:-1,3:1,7:-1,13:-1
3824a 3824 0 0 0 -163 801 1 2:1,239:1
3824b 3824 0 0 0 -1 3 1 2:-1,239:-1
3825a 3825 1 -1 1 -3755 95122 1 3:1,5:1,17:1
3825b 3825 0 0 1 -675 -7594 1 3:1,5:1,17:1
3825c 3825 1 -1 0 -417 -3384 0 3:1,5:1,17:-1
3825d 3825 0 0 1 -75 281 0 3:1,5:1,17:-1
3825e 3825 0 0 1 150 3406 0 3:-1,5:1,17:1
3825f 3825 0 0 1 3750 -80469 1 3:-1,5:1,17:-1
3825g 3825 1 -1 0 -27 -54 1 3:-1,5:1,17:-1
3825h 3825 1 -1 0 -1917 32616 1 3:-1,5:1,17:-1
3825i 3825 1 -1 1 -155 -278 1 3:-1,5:1,17:-1
3825j 3825 0 0 1 -975 15246 1 3:-1,5:1,17:-1
3825k 3825 0 0 1 150 -644 1 3:-1,5:-1,17:1
3825l 3825 1 -1 1 -680 -7428 1 3:-1,5:-1,17:1
3825m 3825 1 -1 1 -680 481322 1 3:-1,5:-1,17:1
3825n 3825 0 0 1 -24375 1905781 1 3:-1,5:-1,17:1
3825o 3825 1 -1 0 -27 3856 0 3:-1,5:-1,17:-1
3826a 3826 1 -1 0 -7 13 2 2:1,1913:-1
3827a 3827 0 -1 1 -94 -344 1 43:-1,89:-1
3829a 3829 0 0 1 4 7 2 7:1,547:-1
3829b 3829 1 0 0 7 4 2 7:1,547:-1
3830a 3830 1 1 0 27 77 1 2:1,5:1,383:1
3830b 3830 1 0 1 -43 108 1 2:1,5:-1,383:-1
3830c 3830 1 -1 1 -13 -19 1 2:-1,5:1,383:-1
3830d 3830 1 -1 1 -2092 93359 1 2:-1,5:-1,383:1
3830e 3830 1 1 1 5 7 0 2:-1,5:-1,383:-1
3834a 3834 1 -1 0 276 24272 1 2:1,3:1,71:1
3834b 3834 1 -1 0 -54 -148 0 2:1,3:-1,71:1
3834c 3834 1 -1 0 -351 2637 0 2:1,3:-1,71:1
3834d 3834 1 -1 0 12 224 2 2:1,3:-1,71:1
3834e 3834 1 -1 0 -150 764 1 2:1,3:-1,71:-1
3834f 3834 1 -1 0 -44700 -3626416 1 2:1,3:-1,71:-1
3834g 3834 1 -1 0 12 -48 1 2:1,3:-1,71:-1
3834h 3834 1 -1 0 -12396 -1140144 1 2:1,3:-1,71:-1
3834i 3834 1 -1 1 -144206 21113693 0 2:-1,3:1,71:1
3834j 3834 1 -1 1 2482 -657827 1 2:-1,3:1,71:-1
3834k 3834 1 -1 1 -488 4483 1 2:-1,3:1,71:-1
3834l 3834 1 -1 1 1 -9 1 2:-1,3:1,71:-1
3834m 3834 1 -1 1 -17 -23 1 2:-1,3:-1,71:1
3834n 3834 1 -1 1 -4967 135967 1 2:-1,3:-1,71:1
3834o 3834 1 -1 1 106 1189 1 2:-1,3:-1,71:1
3834p 3834 1 -1 1 -3161 -68039 0 2:-1,3:-1,71:-1
3835a 3835 1 0 0 124674 45215431 0 5:1,13:1,59:-1
3835b 3835 1 1 1 -50 -158 0 5:-1,13:-1,59:-1
3836a 3836 0 0 0 -13 -19 0 2:-1,7:1,137:1
3836b 3836 0 -1 0 6 1 1 2:-1,7:-1,137:1
3836c 3836 0 0 0 -97 2077 1 2:-1,7:-1,137:1
3838a 3838 1 0 0 68 -1112 0 2:-1,19:1,101:1
3839a 3839 0 0 1 -262 1633 1 11:-1,349:-1
3840a 3840 0 -1 0 -91 -209 1 2:1,3:1,5:1
3840b 3840 0 -1 0 -11 15 1 2:1,3:1,5:1
3840ba 3840 0 1 0 -15 -27 0 2:-1,3:-1,5:-1
3840bb 3840 0 1 0 5 -7 0 2:-1,3:-1,5:-1
3840c 3840 0 -1 0 49 51 1 2:1,3:1,5:1
3840d 3840 0 -1 0 -11 -9 1 2:1,3:1,5:1
3840e 3840 0 -1 0 -5915 -173025 0 2:1,3:1,5:-1
3840f 3840 0 -1 0 -75 -225 0 2:1,3:1,5:-1
3840g 3840 0 -1 0 5 7 0 2:1,3:1,5:-1
3840h 3840 0 1 0 -11 -711 0 2:1,3:-1,5:1
3840i 3840 0 1 0 -11 -15 0 2:1,3:-1,5:1
3840j 3840 0 1 0 -91 209 0 2:1,3:-1,5:1
3840k 3840 0 1 0 -315 2025 1 2:1,3:-1,5:-1
3840l 3840 0 1 0 -75 225 1 2:1,3:-1,5:-1
3840m 3840 0 1 0 -5915 173025 1 2:1,3:-1,5:-1
3840n 3840 0 1 0 -55 53 1 2:1,3:-1,5:-1
3840o 3840 0 -1 0 -11 711 0 2:-1,3:1,5:1
3840p 3840 0 -1 0 -31 -5 0 2:-1,3:1,5:1
3840q 3840 0 -1 0 -1791 12555 0 2:-1,3:1,5:1
3840r 3840 0 -1 0 -315 -2025 1 2:-1,3:1,5:-1
3840s 3840 0 -1 0 -15 27 1 2:-1,3:1,5:-1
3840t 3840 0 -1 0 -55 -53 1 2:-1,3:1,5:-1
3840u 3840 0 -1 0 -335 2475 1 2:-1,3:1,5:-1
3840v 3840 0 1 0 -1791 -12555 1 2:-1,3:-1,5:1
3840w 3840 0 1 0 49 -51 1 2:-1,3:-1,5:1
3840x 3840 0 1 0 -31 5 1 2:-1,3:-1,5:1
3840y 3840 0 1 0 -11 9 1 2:-1,3:-1,5:1
3840z 3840 0 1 0 -335 -2475 0 2:-1,3:-1,5:-1
3842a 3842 1 -1 1 -51 -109 1 2:-1,17:1,113:-1
3842b 3842 1 0 0 -659 6433 2 2:-1,17:-1,113:-1
3843a 3843 1 -1 0 -231 -1288 1 3:1,7:-1,61:-1
3843b 3843 1 -1 1 -26 56 1 3:1,7:-1,61:-1
3843c 3843 1 -1 0 -252 1593 0 3:-1,7:1,61:1
3843d 3843 1 -1 0 -146601 100480986 0 3:-1,7:1,61:1
3843e 3843 0 0 1 -4035 -114800 0 3:-1,7:1,61:1
3843f 3843 0 0 1 -14565 -1867068 0 3:-1,7:1,61:1
3843g 3843 1 -1 1 31 114 1 3:-1,7:1,61:-1
3843h 3843 0 0 1 -12 31 1 3:-1,7:-1,61:1
3843i 3843 1 -1 1 -399677 97354838 0 3:-1,7:-1,61:-1
3843j 3843 1 -1 1 -68 -196 0 3:-1,7:-1,61:-1
3844a 3844 0 0 0 -16337 804357 1 2:-1,31:-1
3844b 3844 0 -1 0 -9930 1063649 1 2:-1,31:-1
3844c 3844 0 -1 0 -2242 -51111 1 2:-1,31:-1
3844d 3844 0 1 0 -10 -39 1 2:-1,31:-1
3845a 3845 1 -1 1 -18 32 1 5:1,769:1
3846a 3846 1 1 0 -937 -10547 1 2:1,3:1,641:1
3846b 3846 1 0 1 -110 416 0 2:1,3:-1,641:1
3846c 3846 1 0 1 -55395 -5022818 1 2:1,3:-1,641:-1
3846d 3846 1 1 1 -4 -1 0 2:-1,3:1,641:1
3846e 3846 1 1 1 -193 959 1 2:-1,3:1,641:-1
3846f 3846 1 0 0 -126 324 1 2:-1,3:-1,641:1
3848a 3848 0 -1 0 -4089 102013 2 2:1,13:-1,37:1
3848b 3848 0 -1 0 -393 3133 1 2:-1,13:1,37:-1
3849a 3849 0 -1 1 220 -163 0 3:1,1283:-1
3849b 3849 0 1 1 -3 -7 1 3:-1,1283:-1
3849c 3849 0 1 1 28 -406 1 3:-1,1283:-1
